start,tg_server_00009,tg_server_00000,tg_server_00004,tg_server_00006,tg_server_00008,tg_server_00007,tg_server_00003,tg_server_00002,tg_server_00005,tg_server_00001
0.0,0.463,0.443,0.463,0.332,0.352,0.473,0.383,0.453,0.433,0.302
1.0,0.453,0.453,0.453,0.463,0.453,0.433,0.423,0.453,0.463,0.453
2.0,0.453,0.463,0.453,0.443,0.463,0.453,0.453,0.463,0.453,0.463
3.0,0.473,0.453,0.453,0.463,0.473,0.453,0.453,0.443,0.453,0.453
4.0,0.433,0.453,0.473,0.453,0.433,0.473,0.463,0.483,0.453,0.443
5.0,0.453,0.463,0.453,0.443,0.463,0.433,0.453,0.453,0.463,0.463
6.0,0.463,0.443,0.453,0.473,0.453,0.443,0.483,0.453,0.443,0.453
7.0,0.463,0.453,0.443,0.463,0.483,0.453,0.433,0.433,0.453,0.473
8.0,0.443,0.453,0.453,0.433,0.423,0.453,0.473,0.473,0.453,0.433
9.0,0.453,0.453,0.463,0.463,0.453,0.463,0.423,0.433,0.463,0.463
10.0,0.463,0.453,0.443,0.443,0.463,0.453,0.453,0.463,0.443,0.443
11.0,0.443,0.463,0.453,0.443,0.443,0.463,0.463,0.443,0.453,0.473
12.0,0.453,0.463,0.453,0.483,0.453,0.443,0.443,0.453,0.453,0.443
13.0,0.473,0.443,0.453,0.433,0.453,0.463,0.463,0.453,0.473,0.443
14.0,0.433,0.453,0.453,0.463,0.453,0.453,0.453,0.473,0.453,0.463
15.0,0.453,0.453,0.463,0.453,0.453,0.443,0.453,0.443,0.453,0.453
16.0,0.453,0.453,0.443,0.453,0.453,0.463,0.453,0.473,0.453,0.443
17.0,0.453,0.453,0.463,0.453,0.453,0.443,0.453,0.443,0.463,0.463
18.0,0.473,0.463,0.453,0.453,0.463,0.463,0.453,0.443,0.433,0.463
19.0,0.443,0.453,0.463,0.443,0.443,0.453,0.463,0.473,0.473,0.443
20.0,0.463,0.453,0.453,0.453,0.453,0.453,0.463,0.433,0.433,0.453
21.0,0.443,0.463,0.463,0.463,0.453,0.463,0.443,0.453,0.473,0.453
22.0,0.463,0.433,0.433,0.453,0.453,0.443,0.463,0.463,0.443,0.483
23.0,0.443,0.453,0.473,0.453,0.463,0.453,0.443,0.463,0.443,0.443
24.0,0.453,0.453,0.433,0.463,0.473,0.453,0.443,0.443,0.473,0.443
25.0,0.453,0.463,0.453,0.453,0.453,0.453,0.463,0.453,0.473,0.443
26.0,0.453,0.453,0.453,0.443,0.443,0.463,0.463,0.453,0.423,0.453
27.0,0.473,0.463,0.453,0.453,0.443,0.453,0.443,0.463,0.453,0.463
28.0,0.433,0.443,0.463,0.453,0.453,0.443,0.463,0.443,0.453,0.463
29.0,0.453,0.453,0.453,0.463,0.453,0.463,0.443,0.463,0.453,0.443
30.0,0.453,0.473,0.453,0.453,0.453,0.443,0.453,0.463,0.463,0.453
31.0,0.463,0.463,0.453,0.453,0.463,0.463,0.453,0.433,0.443,0.463
32.0,0.463,0.433,0.463,0.443,0.453,0.473,0.463,0.453,0.463,0.443
33.0,0.443,0.443,0.443,0.483,0.453,0.433,0.443,0.453,0.443,0.453
34.0,0.473,0.453,0.453,0.453,0.473,0.453,0.463,0.453,0.473,0.453
35.0,0.443,0.463,0.453,0.433,0.463,0.453,0.463,0.483,0.443,0.453
36.0,0.443,0.473,0.453,0.463,0.443,0.473,0.443,0.433,0.453,0.463
37.0,0.453,0.443,0.453,0.443,0.453,0.433,0.453,0.463,0.463,0.443
38.0,0.453,0.443,0.453,0.463,0.433,0.453,0.453,0.443,0.443,0.473
39.0,0.473,0.453,0.463,0.453,0.453,0.463,0.453,0.453,0.463,0.453
40.0,0.433,0.453,0.463,0.443,0.453,0.453,0.453,0.453,0.453,0.463
41.0,0.473,0.463,0.443,0.453,0.453,0.453,0.453,0.453,0.453,0.443
42.0,0.443,0.443,0.463,0.473,0.453,0.453,0.463,0.453,0.453,0.443
43.0,0.463,0.453,0.473,0.443,0.453,0.453,0.443,0.453,0.443,0.463
44.0,0.453,0.463,0.453,0.473,0.463,0.453,0.453,0.453,0.453,0.443
45.0,0.453,0.453,0.423,0.443,0.453,0.453,0.453,0.473,0.463,0.453
46.0,0.443,0.453,0.483,0.463,0.453,0.463,0.463,0.453,0.453,0.453
47.0,0.463,0.453,0.423,0.433,0.453,0.443,0.453,0.443,0.463,0.453
48.0,0.453,0.463,0.453,0.453,0.483,0.473,0.453,0.463,0.453,0.453
49.0,0.443,0.443,0.493,0.453,0.423,0.453,0.473,0.453,0.443,0.473
50.0,0.463,0.463,0.423,0.463,0.453,0.443,0.453,0.463,0.463,0.443
51.0,0.443,0.453,0.483,0.443,0.453,0.443,0.443,0.433,0.443,0.463
52.0,0.463,0.443,0.433,0.453,0.453,0.453,0.443,0.463,0.453,0.443
53.0,0.463,0.453,0.453,0.453,0.473,0.463,0.483,0.453,0.463,0.463
54.0,0.443,0.453,0.443,0.463,0.433,0.473,0.423,0.453,0.453,0.453
55.0,0.453,0.453,0.453,0.463,0.463,0.443,0.473,0.443,0.453,0.443
56.0,0.453,0.463,0.463,0.443,0.453,0.443,0.443,0.473,0.453,0.453
57.0,0.453,0.463,0.463,0.453,0.463,0.453,0.473,0.463,0.453,0.453
58.0,0.463,0.443,0.433,0.453,0.453,0.453,0.433,0.463,0.463,0.453
59.0,0.443,0.473,0.463,0.453,0.443,0.463,0.453,0.433,0.473,0.473
60.0,0.453,0.433,0.453,0.453,0.473,0.443,0.463,0.453,0.433,0.463
